Château Boyd-Cantenac,Boyd Cantenac,12x75,2000,£23.54,£50.00,£600.00,7,10,BOYD002,,112.40%,,,,,
  Château Boyd-Cantenac    Half Bottles (12 x 37.5cl),Boyd Cantenac,12x37.5,2000,£12.00,£27.50,£660.00,0,13,BOYD001,,129.17%,,,,,
Château Branaire –Ducru,Branaire Ducru,12x75,2010,£34.17,£65.00,£780.00,5,,BRAN004,,90.23%,,,,,
     Château Branaire –Ducru Half Bottles (12 x 37.5cl),Branaire Ducru,12x37.5,2009,£17.08,£35.00,£840.00,4,,BRAN003,,104.92%,,,,,
Château Branaire-Ducru,Branaire Ducru,12x75,2008,£27.08,£50.00,£600.00,6,2,BRAN002,,84.64%,,,,,
Château Branaire-Ducru,Branaire Ducru,12x75,2000,£46.42,£75.00,£900.00,0,9,BRAN001,,61.57%,,,,,
Château Brane-Cantenac,Brane Cantenac,12x75,2010,£40.25,£76.00,£912.00,3,,BCAN004,,88.82%,,,,,
    Château Brane-Cantenac  Half Bottles (12 x 37.5cl),Brane Cantenac,12x37.5,2009,£18.85,£35.00,£840.00,5,,BCAN003,,85.68%,,,,,
Château Brane-Cantenac,Brane Cantenac,12x75,2008,£26.08,£52.00,£624.00,5,,BCAN002,,99.39%,,,,,
Château Brane-Cantenac,Brane Cantenac,12x75,2005,£41.46,£70.00,£840.00,0,19,BCAN001,,68.84%,,,,,
CHÂTEAU CAILLETEAU BERGERON – AOC BLAYE CÔTES DE BORDEAUX,"Cailleteau Bergeron, Rouge",12x75,2012,£6.98,£9.75,£117.00,35,,CAIL001,,39.68%,,,,,
Château Calon Segur,Calon Segur,12x75,2009,£46.92,£80.00,£960.00,1,,CALO004,,70.50%,,,,,
Château Calon Segur,Calon Segur,12x75,2006,£37.92,£110.00,"£1,320.00",0,9,CALO003,,190.08%,,,,,
Château Calon Segur ,Calon Segur,12x75,2001,£41.46,£100.00,"£1,200.00",0,17,CALO002,,141.20%,,,,,
Château Calon Segur ,Calon Segur,12x75,2000,£58.50,£135.00,"£1,620.00",0,24,CALO001,,130.77%,,,,,
Château Cambon La Pelouse,Cambon Pelouse,12x75,2005,£11.00,£30.00,£360.00,0,14,CAMB001,,172.73%,,,,,
Château Camensac ,Camensac,12x75,2000,£17.17,£32.00,£384.00,2,73,CAME002,,86.37%,,,,,
 Château Camensac      Half Bottles (12 x 37.5cl),Camensac,12x37.5,2000,£8.69,£18.50,£444.00,0,83,CAME001,,112.89%,,,,,
Château Canon,Canon,12x75,2009,£58.96,£90.00,"£1,500.00",2,,CANO001,,52.65%,,,,,
Château Cantenac-Brown,Cantenac Brown,12x75,2009,£27.67,£50.00,£600.00,5,,CANT003,,80.70%,,,,,
