Stock Location,Cellar,Retail,SKU,L-WIN,Wine Searcher,Country,Region,Sub Region,Colour,Type,Alc%,Classification,Bottles/Case,Box Type,Wine Name,Vintage,Single size,"Bottle price landed, DP excellar",Shop Price + VAT,Shop Price ex VAT,Actual Margin,Note
,FALSE,FALSE,,,,,,,,,,,,,"Corte Aleardi, Ripasso Valpolicella Bure Alto",2007,0.75,41.92, £	19.85 ,15.88,-62%,Overpaid. Only 3 bottles
B10,TRUE,FALSE,,,,Italy,,,,,,,12,,"Corte Aleardi, Ripasso Valpolicella Bure Alto",2008,0.75,9.23166666666667, £	19.85 ,15.88,72%,
C1,TRUE,FALSE,,,,,,,,,,,12,,Cos d'Estournel,2006,0.75,69.17,NA,NA,,
C5,TRUE,FALSE,,,,,,,,,,,12,,Cos d'Estournel,2001,0.75,72.9, £	181.90 ,145.52,100%,
,FALSE,FALSE,,,,,,,,,,,,,Cos d'Estournel,2000,0.75,106.67, £	211.00 ,168.8,58%,
A4,TRUE,FALSE,,,,Spain,,,,,,,,,"Cristo de la Vega, Tempranillo Marques de Castilla",2013,0.75,4.60666666666667, £	6.85 ,5.48,19%,
C,TRUE,FALSE,,,,,,,,,,,24,,Croix Gay,2000,0.75,27,NA,NA,,
C2,TRUE,FALSE,,,,,,,,,,Grand Cru Classe,12,,Dauzac,1995,0.75,23.5416666666667, £	46.50 ,37.2,58%,
C2,TRUE,FALSE,,,,,,,,,,Grand Cru Classe,12,,Dauzac,1996,0.75,22.33, £	46.55 ,37.24,67%,
,FALSE,FALSE,,,,,,,,,,,,,"De Bortoli, Shiraz Willowglen",2012,0.75,4.4, £	8.75 ,7,59%,
,FALSE,FALSE,,,,,,,,,,,,,"Delord, Armagnac",NV,0.5,45,NA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,"Delord, Armagnac VSOP",NV,0.5,30,NA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Domaine Chevalier,2009,0.75,36.2916666666667,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Domaine Chevalier,2010,0.75,37.7083333333333,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,"Domaine Dominique Guyon, Hautes Cotes de Nuits Dames de Vergy",2011,0.75,10.1866666666666, £	19.65 ,15.72,54%,
,FALSE,FALSE,,,,,,,,,,,,,"Domaine Guyon, Echezeaux Grand Cru",2004,0.75,40, £	160.05 ,128.04,220%,
,FALSE,FALSE,,,,,,,,,,,,,"Domaine Guyon, Vosne Romanee Orveaux",2004,0.75,29.8, £	75.50 ,60.4,103%,
,FALSE,FALSE,,,,,,,,,,,,,"Domaine Pierre Andre, Corton Pougets",1998,0.75,17.41, £	54.20 ,43.36,149%,
,FALSE,FALSE,,,,,,,,,,,,,Dominique,2000,0.75,32.25, £	69.85 ,55.88,73%,
,FALSE,FALSE,,,,,,,,,,,,,Dow,2001,0.75,10, £	34.40 ,27.52,175%,
C2,TRUE,FALSE,,,,,,,,,,,12,,Ducru Beaucaillou,1998,0.75,72.5, £	145.50 ,116.4,61%,
C2,TRUE,FALSE,,,,,,,,,,,12,,Ducru Beaucaillou,1999,0.75,75.42, £	145.50 ,116.4,54%,
C2,TRUE,FALSE,,,,,,,,,,,12,,Ducru Beaucaillou,2000,0.75,112.5, £	261.90 ,209.52,86%,
C2,TRUE,FALSE,,,,,,,,,,,12,,Ducru Beaucaillou,2003,0.75,112.5, £	261.90 ,209.52,86%,
,FALSE,FALSE,,,,,,,,,,,,,Ducru Beaucaillou,2003,0.75,98.33,NA,NA,,9 bottles - 45% marge +VAT min shop?
,FALSE,FALSE,,,,,,,,,,,,,Durfort Vivens,1995,0.75,20, £	43.65 ,34.92,75%,
A2,TRUE,FALSE,,,,France,Bourgogne,,White,Chablis,,,,,"Ellevin, Chablis",2012,1.50,10.54, £	37.20 ,29.76,182%,Edward mistake charged 22GBP per case6 in bond 64mag
A2,TRUE,FALSE,,,,,,,,,,,,,"Ellevin, Chablis",2012,0.375,3.98, £	9.45 ,7.56,90%,
A3,TRUE,FALSE,,,,France,Bourgogne,,White,Chablis,,,,,"Ellevin, Chablis",2012,0.75,7.7475, £	14.90 ,11.92,54%,
A4,TRUE,FALSE,,,,France,Bourgogne,,White,Chablis,,,,,"Ellevin, Chablis",2013,0.75,7.7475,NA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,"Ellevin, Chablis",2013,0.375,4.90791666666667, £	9.45 ,7.56,54%,
A2,TRUE,FALSE,,,,,,,White,,,,,,"Ellevin, Chablis Vaucoupin",2012,0.375,5.44166666666667, £	12.35 ,9.88,82%,
A2,TRUE,FALSE,,,,France,Bourgogne,,White,Chablis,,1er Cru,,,"Ellevin, Chablis Vaucoupin",2011,1.50,19.6766666666667, £	52.50 ,42,113%,
,FALSE,FALSE,,,,,,,,,,,,,"Ellevin, Chablis Vaucoupin",2011,0.75,9.08, £	22.50 ,18,98%,
A4,TRUE,FALSE,,,,France,Bourgogne,Chablis,White,Chablis,13,1er Cru,,,"Ellevin, Chablis Vosgros",2011,0.75,9.1, £	22.50 ,18,98%,
A4,TRUE,FALSE,,,,France,Bourgogne,Chablis,White,Chablis,,,,,"Ellevin, Petit Chablis",2011,0.75,6.64, £	13.85 ,11.08,67%,
A4,TRUE,FALSE,,,,France,Bourgogne,Chablis,White,Chablis,,,,,"Ellevin, Petit Chablis",2012,0.75,6.76416666666667,NA,NA,,
A5,TRUE,FALSE,,,,Italy,,,Rose,Sparkling,,,,,"Empson, Spumante Borgo Imperiale Brut Rose",NV,0.75,5.54, £	10.80 ,8.64,56%,
,FALSE,FALSE,,,,,,,,,,,,,Enclos,2000,0.75,27, £	43.65 ,34.92,29%,Market price 46GBP - increase
C5,TRUE,FALSE,,,,,,,,,,,12,,Evangile,1998,0.75,118.8, £	261.90 ,209.52,76%,
C5,TRUE,FALSE,,,,,,,,,,,12,,Evangile,1999,0.75,72.5, £	203.70 ,162.96,125%,
